run,model,weight
run2,nt,-0.007259913
run2,nt,-0.023563411
run2,nt,0.03852261
run2,nt,-0.006363582
run2,nt,0.027409017
run2,nt,0.0144151375
run2,nt,-0.019370154
run2,nt,0.0048649786
run2,nt,0.007187051
run2,nt,-0.025072835
run2,nt,0.01473955
run2,nt,-0.01609381
run2,nt,-0.004283852
run2,nt,0.019724136
run2,nt,0.0027476412
run2,nt,-0.02404211
run2,nt,-0.0021993709
run2,nt,0.00041575753
run2,nt,-0.0058096917
run2,nt,0.02422162
run2,nt,0.0011625926
run2,nt,0.0023225956
run2,nt,0.0016237444
run2,nt,-0.01724016
run2,nt,-0.008352177
run2,nt,0.069787264
run2,nt,0.0038274731
run2,nt,-0.0050281114
run2,nt,0.051482484
run2,nt,0.035763264
run2,nt,-0.022122733
run2,nt,0.0094005335
run2,nt,-0.0065169083
run2,nt,-0.014888067
run2,nt,0.005177012
run2,nt,-0.00038778456
run2,nt,0.07806847
run2,nt,0.0119396895
run2,nt,-0.019335689
run2,nt,-0.011140133
run2,nt,-0.0051805405
run2,nt,-0.03324235
run2,nt,-0.05157027
run2,nt,-0.03307969
run2,nt,-0.026721256
run2,nt,0.02960787
run2,nt,0.002021315
run2,nt,-0.016782716
run2,nt,-0.0073957844
run2,nt,-0.029353183
run2,nt,-0.0018082224
run2,nt,0.01839598
run2,nt,0.0034200693
run2,nt,0.0015581499
run2,nt,-0.0018172868
run2,nt,-0.01591193
run2,nt,-0.02235635
run2,nt,0.05982335
run2,nt,-0.037194595
run2,nt,-0.016634312
run2,nt,0.017107964
run2,nt,0.0025909021
run2,nt,-0.0034549227
run2,nt,-0.042415105
run2,nt,-0.03608455
run2,nt,0.03005124
run2,nt,-0.023067953
run2,nt,-0.00586464
run2,nt,-0.021515455
run2,nt,0.026159413
run2,nt,0.003462961
run2,nt,-0.05217528
run2,nt,-0.0037939595
run2,nt,-0.007214587
run2,nt,-0.002610837
run2,nt,-0.002407237
run2,nt,-0.056750644
run2,nt,0.007606212
run2,nt,0.0021175982
run2,nt,0.017829478
run2,nt,-0.029899247
run2,nt,-0.007798192
run2,nt,-0.0018523191
run2,nt,-0.005885845
run2,nt,-0.0011296046
run2,nt,0.00224057
run2,nt,0.0010324225
run2,nt,-0.004063704
run2,nt,-0.010738691
run2,nt,-0.0016319216
run2,nt,-0.04889954
run2,nt,-0.03526793
run2,nt,-0.023713185
run2,nt,-0.010744795
run2,nt,-0.00028627133
run2,nt,-0.056494456
run2,nt,-0.05763559
run2,nt,0.021747202
run2,nt,-0.015264103
run2,nt,0.0012905558
run2,nt,-0.0002723597
run2,nt,0.08830758
run2,nt,0.04205461
run2,nt,-0.03942007
run2,nt,0.0016328588
run2,nt,0.020147596
run2,nt,0.041346416
run2,nt,0.044273205
run2,nt,-0.03675445
run2,nt,0.010792064
run2,nt,-0.0019143478
run2,nt,-0.0075319754
run2,nt,-0.01494672
run2,nt,-0.029169455
run2,nt,-0.004285704
run2,nt,-0.02315615
run2,nt,-0.0005717459
run2,nt,0.0054557417
run2,nt,-0.0029245934
run2,nt,0.009235708
run2,nt,-0.014539012
run2,nt,-0.0014268812
run2,nt,-0.018308852
run2,nt,-0.0028630365
run2,nt,-0.0042422824
run2,nt,0.012311098
run2,nt,0.016833331
run2,nt,-0.024101514
run2,nt,-0.010880505
run2,nt,0.011172111
run2,nt,0.009550266
run2,nt,-0.0014091454
run2,nt,-0.039931536
run2,nt,0.011825481
run2,nt,0.019695712
run2,nt,-0.04123261
run2,nt,-0.0044577965
run2,nt,-0.032228302
run2,nt,0.05285643
run2,nt,-0.00076413434
run2,nt,-0.08945805
run2,nt,-0.028296802
run2,nt,-0.004132261
run2,nt,0.018956477
run2,nt,-0.006251593
run2,nt,-0.029936872
run2,nt,-0.003684049
run2,nt,-0.041264042
run2,nt,0.0018212252
run2,nt,-0.001168334
run2,nt,-0.000564538
run2,nt,0.0023501269
run2,nt,-0.0055840965
run2,nt,0.0037216041
run2,nt,-0.0648851
run2,nt,-0.03691212
run2,nt,-0.037940025
run2,nt,0.027259823
run2,nt,-0.014954274
run2,nt,-0.042241883
run2,nt,-0.05015607
run2,nt,0.013017713
run2,nt,0.025617719
run2,nt,-0.0056131133
run2,nt,-0.02379064
run2,nt,-0.018732222
run2,nt,0.008541461
run2,nt,-0.059800737
run2,nt,-0.0029563885
run2,nt,-0.029818598
run2,nt,0.02183686
run2,nt,0.0039034695
run2,nt,-0.06743922
run2,nt,-0.024177289
run2,nt,0.004860021
run2,nt,0.005438326
run2,nt,-0.038840584
run2,nt,-0.029556302
run2,nt,0.00019647763
run2,nt,-0.024059543
run2,nt,-0.00251564
run2,nt,0.0050790785
run2,nt,0.003726094
run2,nt,-0.005999856
run2,nt,-0.005993298
run2,nt,0.011881342
run2,nt,-0.03415501
run2,nt,-0.027943023
run2,nt,0.003943002
run2,nt,0.04294283
run2,nt,0.005053585
run2,nt,-0.013146809
run2,nt,-0.043207824
run2,nt,-0.006902099
run2,nt,0.025460279
run2,nt,0.0006770869
run2,nt,0.009447566
run2,nt,-0.015162562
run2,nt,-0.010411011
run2,nt,-0.04699564
run2,nt,-0.005744721
run2,nt,-0.011975683
run2,nt,0.017811779
run2,nt,-0.006360243
run2,nt,-0.024175521
run2,nt,-0.0025090221
run2,nt,-0.002776818
run2,nt,-0.0067322897
run2,nt,-0.025756553
run2,nt,-0.004768304
run2,nt,-0.0027941922
run2,nt,-0.0018840604
run2,nt,-0.0016688964
run2,nt,0.001217877
run2,nt,0.0031986558
run2,nt,0.0032353743
run2,nt,-0.0140301995
run2,nt,0.05370433
run2,nt,-0.019857896
run2,nt,-0.028242629
run2,nt,-0.006318359
run2,nt,0.034865238
run2,nt,0.0018674713
run2,nt,-0.0038541784
run2,nt,-0.023541743
run2,nt,-0.009483134
run2,nt,0.028896315
run2,nt,-0.0027165604
run2,nt,0.004244503
run2,nt,-0.029510422
run2,nt,-0.016578149
run2,nt,-0.0068099615
run2,nt,-0.00053962495
run2,nt,-0.017542548
run2,nt,0.01874773
run2,nt,-0.01302646
run2,nt,0.004669997
run2,nt,0.0021719187
run2,nt,0.00089526764
run2,nt,-0.014144743
run2,nt,0.0033877739
run2,nt,-0.0038729873
run2,nt,-0.003260274
run2,nt,0.0075724777
run2,nt,-0.0039653117
run2,nt,0.0017798895
run2,nt,0.0008076095
run2,nt,-0.0153280245
run2,nt,-0.015969446
run2,nt,0.031314068
run2,nt,-0.00695923
run2,nt,-0.013210438
run2,nt,-0.043335807
run2,nt,0.02387423
run2,nt,-0.007012481
run2,nt,0.008671643
run2,nt,-0.0040291175
run2,nt,-0.017423304
run2,nt,-0.02118635
run2,nt,-0.009308582
run2,nt,-0.03213384
run2,nt,-0.018712848
run2,nt,-0.025032934
run2,nt,-0.010135006
run2,nt,0.0019652154
run2,nt,-0.0066227615
run2,nt,-0.009706816
run2,nt,-0.008771947
run2,nt,-0.034413364
run2,nt,0.0026429277
run2,nt,0.0057548014
run2,nt,-0.020063758
run2,nt,-0.014733482
run2,nt,-0.014384845
run2,nt,-0.009539418
run2,nt,0.0055889376
run2,nt,-0.0052872705
run2,nt,-0.0023099284
run2,nt,0.00016516494
run2,nt,-0.010257178
run2,nt,0.0046419357
run2,nt,-0.020043975
run2,nt,-0.026870154
run2,nt,-0.012010751
run2,nt,0.0036759917
run2,nt,0.04769562
run2,nt,-0.0059656594
run2,nt,0.004974016
run2,nt,-0.013643717
run2,nt,0.0033296389
run2,nt,-0.023585886
run2,nt,-0.0006969808
run2,nt,-0.02201213
